question,option_a,option_b,option_c,option_d,option_e,correct_answer
ПРОВЕРКА УРОВНЯ КВАЛИФИКАЦИИ ЭКСПЕРТА ПРОВОДИТСЯ,по истечении трех лет,постоянно,ежегодно,однажды после окончания обучения,через каждые пять лет,через каждые пять лет
ПРИНЦИПЫ ГОСУДАРСТВЕННОЙ ЭКСПЕРТНОЙ ДЕЯТЕЛЬНОСТИ,"объективность, всесторонность и полнота исследований",все ответы верные,соблюдение прав юридического лица,независимость эксперта,законность и соблюдение прав и свобод человека,все ответы верные
НЕЗАВИСИМОСТЬ ЭКСПЕРТА ХАРАКТЕРИЗУЕТСЯ,подчинением эксперта при написании заключения стороне обвинения,беспрекословным выполнением экспертом любого указания судьи,взаимовыгодным сотрудничеством со следственным комитетом,взаимовыгодным сотрудничеством с адвокатской коллегией,свободой экспертных действий в рамках процессуального закона,свободой экспертных действий в рамках процессуального закона
НЕ ЯВЛЯЕТСЯ ОСНОВАНИЕМ ДЛЯ ОТВОДА ЭКСПЕРТА,некомпетентность эксперта,служебная зависимость его от сторон процесса,предыдущее его участие в данном уголовном деле в качестве эксперта,родственные отношения эксперта с подозреваемым,родственные отношения эксперта с потерпевшим,предыдущее его участие в данном уголовном деле в качестве эксперта
РУКОВОДИТЕЛЬ ГОСУДАРСТВЕННОГО ЭКСПЕРТНОГО УЧРЕЖДЕНИЯ НЕ ВПРАВЕ,разъяснять эксперту (экспертам) права и обязанности при выполнении экспертизы,"возвратить без исполнения постановление о назначении судебно экспертизы, в виду отсутствия эксперта конкретной специальности","возвратить без исполнения определение суда о назначении судебной экспертизы, в виду отсутствия в экспертном учреждении специальных условий, для выполнения конкретной экспертизы","определять вид судебной экспертизы, с учетом согласия следователя или суда","требовать от эксперта внесения в содержание и выводы экспертизы определенной информации,влияющей на ее объективность","требовать от эксперта внесения в содержание и выводы экспертизы определенной информации, влияющей на ее объективность"
СУДЕБНЫЕ ЭКСПЕРТИЗЫ НЕ МОГУТ ПРОВОДИТЬСЯ,очно,амбулаторно,стационарно,без наличия фактических и правовых оснований,заочно,без наличия фактических и правовых оснований
ПРОЦЕССУАЛЬНЫЙ СТАТУС ЭКСПЕРТА (СПЕЦИАЛИСТА) ВКЛЮЧАЕТ,"образование, должность, специальность","права, обязанности, ответственность","обязанности, права, должность","образование, права, специальность","специальность, звание, ответственность","права, обязанности, ответственность"
К МЕДИЦИНСКИМ ЭКСПЕРТИЗАМ ОТНОСИТСЯ,все ответы верные,экспертиза временной нетрудоспособности,экспертиза оказания медицинской помощи,судебно-медицинская экспертиза,судебно-психиатрическая экспертиза,все ответы верные
СПЕЦИАЛИСТ НЕ ВПРАВЕ,"приносить жалобы на бездействие следователя, ограничивающие его права",с разрешения суда задавать вопросы участникам следственного действия,"уклоняться от явки по вызовам дознавателя, следователя или в суд","делать замечания, которые подлежат занесению в протокол следственного действия","приносить жалобы на бездействие дознавателя, ограничивающие его права","уклоняться от явки по вызовам дознавателя, следователя или в суд"
УГОЛОВНАЯ ОТВЕТСТВЕННОСТЬ ЭКСПЕРТА НАСТУПАЕТ,за уклонение от явки по вызову суда,за дачу заведомо ложного заключения и разглашение данных предварительного расследования,за дачу заключения с превышением пределов своей компетенции,за уклонение от явки по вызову следователя,за проведение переговоров с участниками сторон уголовного процесса без разрешения суда,за дачу заведомо ложного заключения и разглашение данных предварительного расследования
К СУДЕБНЫМ МЕДИЦИНСКИМ ЭКСПЕРТИЗАМ ПРИНЯТО ОТНОСИТЬ,судебно-медицинскую и судебно-психиатрическую,военно-врачебную,экспертизу оказания медицинской помощи,экспертизу временной нетрудоспособности,экспертизу профессиональной пригодности,судебно-медицинскую и судебно-психиатрическую
ФАКТИЧЕСКИМ ОСНОВАНИЕМ ПРОВЕДЕНИЯ СУДЕБНОЙ ЭКСПЕРТИЗЫ ЯВЛЯЕТСЯ,наличие постановления следователя,"необходимость разрешения вопросов, стоящих перед следствием или судом и требующих специальных знаний",наличие постановления дознавателя,наличие постановления судьи,наличие определения суда,"необходимость разрешения вопросов, стоящих перед следствием или судом и требующих специальных знаний"
ДОКАЗАТЕЛЬСТВА В УГОЛОВНОМ ПРОЦЕССЕ -,"сведения, подлежащие доказыванию при производстве по делу, на основе которых суд определяет",виновность или невиновность лица в совершении преступления,"любые сведения, на основе которых суд, прокурор, следователь, дознаватель в соответствии спроцессуальным законом устанавливает наличие или отсутствие обстоятельств, подлежащих доказыванию",при производстве по уголовному делу,"фактические данные, на основе которых только суд в соответствии с процессуальным законом устанавливаетналичие или отсутствие обстоятельств, подлежащих доказыванию при производстве по уголовному делу","любые сведения, на основе которых суд, прокурор, следователь, дознаватель в соответствии с процессуальным"
ВИД СУДЕБНЫХ ЭКСПЕРТИЗ ОТРАЖАЕТ,"совокупность, характеризующуюся разграничением научных знаний",принадлежность к роду экспертизы с решением определенных задач в отношении конкретного объекта,исследования,"совокупность, зависящую от взаимного сочетания научных знаний",принадлежность к классу экспертизы с решением определенных задач,принадлежность к роду экспертизы с решением определенных задач в отношении конкретного объекта исследования
