question,option_a,option_b,option_c,option_d,option_e,correct_answer
ГРАЖДАНАМ УСТАНАВЛИВАЕТСЯ ГРУППА ИНВАЛИДНОСТИ БЕЗ УКАЗАНИЯ СРОКОВ ПЕРЕОСВИДЕТЕЛЬСТВОВАНИЯ ИМЕЮЩИМ НЕОБРАТИМЫЕ МОРФОЛОГИЧЕСКИЕ ИЗМЕНЕНИЯ ИЛИ НАРУШЕНИЯ ФУНКЦИИ И СИСТЕМ ОРГАНИЗМА,"не позднее 4 лет после первичного признания гражданина инвалидом в случае выявления невозможности устранения или уменьшения в ходе осуществления реабилитационных или абилитационных мероприятий степени ограничения жизнедеятельности гражданина, вызванного стойкими необратимыми","морфологическими изменениями, дефектами и нарушениями функций органов и систем организма",сразу при первичном освидетельствовании,не позднее 10 лет после первичного освидетельствования,не позднее 5 лет после первичного освидетельствования,не позднее 2 лет после первичного признания инвалидом гражданина
ГРАЖДАНАМ УСТАНАВЛИВАЕТСЯ ГРУППА ИНВАЛИДНОСТИ БЕЗ УКАЗАНИЯ СРОКОВ ПЕРЕОСВИДЕТЕЛЬСТВОВАНИЯ В СЛУЧАЕ НЕВОЗМОЖНОСТИ УСТРАНЕНИЯ ИЛИ УМЕНЬШЕНИЯ В ХОДЕ РЕАБИЛИТАЦИОННЫХ МЕРОПРИЯТИЙ СТЕПЕНИ ОГРАНИЧЕНИЯ ЖИЗНЕДЕЯТЕЛЬНОСТИ,не позднее 2 лет после первичного признания инвалидом гражданина,сразу при первичном освидетельствовании,не позднее 5 лет после первичного освидетельствования,не позднее 4 лет после первичного признания инвалидом гражданина,не позднее 10 лет после первичного освидетельствования,не позднее 4 лет после первичного признания инвалидом гражданина
"УКАЖИТЕ, В ТЕЧЕНИЕ КАКОГО ВРЕМЕНИ РАССМАТРИВАЮТСЯ ПРЕДСТАВЛЕННЫЕ ДОКУМЕНТЫ ВРАЧЕБНОЙ КОМИССИЕЙ СО ДНЯ ИХ ПОСТУПЛЕНИЯ",10 рабочих дней,30 рабочих дней,двух недель,15 рабочих дней,двух месяцев,10 рабочих дней
РАБОТОДАТЕЛЬ ПИСЬМЕННО СООБЩАЕТ ОБ ИСПОЛНЕНИИ РЕШЕНИЙ КОМИССИЙ,центр профессиональной патологии и центр государственного санитарно-эпидемиологического надзора,вышестоящему руководству,департамент здравоохранения региона,центр профессиональной патологии,центр государственного санитарно-эпидемиологического надзора,центр государственного санитарно-эпидемиологического надзора
ИЗВЕЩЕНИЕ ОБ ИЗМЕНЕНИИ ИЛИ ОТМЕНЕ ДИАГНОЗА ПРОФЕССИОНАЛЬНОГО ЗАБОЛЕВАНИЯ В ЦЕНТР ГОСУДАРСТВЕННОГО САНИТАРНО - ЭПИДЕМИОЛОГИЧЕСКОГО ЦЕНТРА НАПРАВЛЯЕТСЯ В СРОК,30 дней,10 дней,15 дней,14 дней,7 дней,7 дней
УЧЕТ И РЕГИСТРАЦИЯ ПРОФЕССИОНАЛЬНЫХ ЗАБОЛЕВАНИЙ ВЕДЕТСЯ,в департаменте здравоохранения региона,в Роспотребнадзоре,в медицинской организации,в Росстате региона,в Росстате России,в Роспотребнадзоре
ОБЪЕМ ПЛАНОВЫХ И ВНЕПЛАНОВЫХ ЭКСПЕРТИЗ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ОТ ЧИСЛА ПРИНЯТЫХ К ОПЛАТЕ СЛУЧАЕВ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ СОСТАВЛЯЕТ ПРИ ОКАЗАНИИ МЕДИЦИНСКОЙ ПОМОЩИ ВНЕ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ,5%,2%,"1,5%","0,5%",1%,"0,5%"
ОБЪЕМ ПЛАНОВЫХ И ВНЕПЛАНОВЫХ ЭКСПЕРТИЗ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ОТ ЧИСЛА ПРИНЯТЫХ К ОПЛАТЕ СЛУЧАЕВ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ СОСТАВЛЯЕТ ПРИ ОКАЗАНИИ МЕДИЦИНСКОЙ ПОМОЩИ СТАЦИОНАРНО,2%,1%,"1,5%",3%,"0,5%",3%
СРОК ПРОВЕДЕНИЯ ВЕДОМСТВЕННЫХ ПРОВЕРОК ПО КОНТРОЛЮ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ НЕ ДОЛЖЕН ПРЕВЫШАТЬ,30 рабочих дней,15 рабочих дней,5 рабочих дней,10 рабочих дней,20 рабочих дней,20 рабочих дней
ПЛАНОВЫЕ ПРОВЕРКИ В ОТНОШЕНИИ ПОДВЕДОМСТВЕННЫХ ОРГАНИЗАЦИЙ ПРИ ПРОВЕДЕНИИ ВЕДОМСТВЕННОГО КОНТРОЛЯ ОСУЩЕСТВЛЯЮТСЯ,не чаще 4 -х раза в год,не чаще 3 -х раза в год,нет верного ответа,не чаще 1 -го раза в год,не чаще 2 -х раз в год,не чаще 1-го раза в год
СРОК ПРОВЕДЕНИЯ ПЛАНОВЫХ И ЦЕЛЕВЫХ ПРОВЕРОК В РАМКАХ ВНУТРЕННЕГО КОНТРОЛЯ НЕ ДОЛЖЕН ПРЕВЫШАТЬ,30 дней,7 дней,3 дней,10 дней,20 дней,10 дней
ВСЕСОЮЗНАЯ ГОСУДАРСТВЕННАЯ САНИТАРНАЯ ИНСПЕКЦИЯ БЫЛА ОРГАНИЗОВАНА В,1933г.,1941г.,1917г.,1925г.,1922г.,1933г.
СРОКИ ПРОВЕДЕНИЯ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО КОНТРОЛЮ В ОТНОШЕНИИ ЮРИДИЧЕСКИХ ЛИЦ ИЛИ ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ,в течение 1 месяца,до 20 дней,до 10 дней,до двух месяцев,в зависимости от состояния объектов надзора,до 20 дней
ОБЪЕМ ЕЖЕМЕСЯЧНЫХ МЕДИКО-ЭКОНОМИЧЕСКИХ ЭКСПЕРТИЗ (ПЛАНОВЫХ И ВНЕПЛАНОВЫХ) ОТ ЧИСЛА ПРИНЯТЫХ К ОПЛАТЕ СЛУЧАЕВ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В КАЖДОЙ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ СОСТАВЛЯЕТ НЕ МЕНЕЕ ПРИ ОКАЗАНИИ МЕДИЦИНСКОЙ ПОМОЩИ СТАЦИОНАРНО,2%,3%,5%,6%,"1,5%",6%
ОБЪЕМ ЕЖЕМЕСЯЧНЫХ МЕДИКО-ЭКОНОМИЧЕСКИХ ЭКСПЕРТИЗ (ПЛАНОВЫХ И ВНЕПЛАНОВЫХ) ОТ ЧИСЛА ПРИНЯТЫХ К ОПЛАТЕ СЛУЧАЕВ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В КАЖДОЙ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ СОСТАВЛЯЕТ НЕ МЕНЕЕ ПРИ ОКАЗАНИИ МЕДИЦИНСКОЙ ПОМОЩИ ВНЕ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ,1%,"1,5%",3%,2%,"0,5%",2%
ВРАЧЕБНАЯ КОМИССИЯ ВЫНОСИТ РЕШЕНИЕ И ОФОРМЛЯЕТ МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ ПО РЕЗУЛЬТАТАМ ПЕРИОДИЧЕСКОГО ОСМОТРА В ТЕЧЕНИЕ,10 календарных дней со дня его окончания,5 календарных дней со дня его окончания,15 календарных дней со дня его окончания,30 календарных дней со дня его окончания,20 календарных дней со дня его окончания,15 календарных дней со дня его окончания
СРОК ПРОИЗВОДСТВА АМБУЛАТОРНОЙ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗА НЕ МОЖЕТ ПРЕВЫШАТЬ,десяти дней,трех дней,тридцати дней,пятнадцати дней,двадцати дней,тридцати дней
СРОКИ РАССМОТРЕНИЯ ДЕЛА ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ ОРГАНОМ РОСПОТРЕБНАДЗОРА,60 дней,3 дня,15 дней,30 дней,45 дней,15 дней
ОСОБЕННОСТИ ПРИОБРЕТЕНИЯ И ПРЕКРАЩЕНИЯ ДЛЯ ВСЕХ ФОРМ И ВИДОВ СОБСТВЕННОСТИ МОГУТ УСТАНАВЛИВАТЬСЯ,Приказами министерств Российской Федерации,Органом исполнительной власти местного самоуправления,Федеральными законами,Постановлениями Правительства Российской Федерации,Указами Президента Российской Федерации,Федеральными законами
